27/04/19 11:38:39 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:40:44 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:40:44 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:40:44 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:40:44 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:41:07 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:41:07 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:41:07 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:41:07 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:42:50 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:42:50 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:42:50 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:42:50 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:44:43 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:44:43 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:44:43 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:44:43 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:44:44 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 36 - Trying to load picture...
27/04/19 11:46:09 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:46:09 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:46:09 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:46:09 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:46:09 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 36 - Trying to load picture...
27/04/19 11:57:18 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:57:18 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:57:18 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:57:18 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:57:18 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 33 - Trying to load picture...
27/04/19 11:57:40 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:57:40 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:57:40 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:57:40 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:57:40 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 33 - Trying to load picture...
27/04/19 12:04:32 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 12:04:32 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 12:04:32 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 12:04:32 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 12:04:32 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 33 - Trying to load picture...
27/04/19 12:04:45 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 12:04:45 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 12:04:45 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 12:04:45 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 12:04:45 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 33 - Trying to load picture...
27/04/19 12:09:24 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
